symbol,name,multiplier,tick,commission,spread,contract_cycle,roll_cycle,roll_offset_days,expiry_offset_days,carry_offset,margin
6A,Australian Dollar,100000,5.00E-05,5,0,"3,6,9,12",,0,0,1,1595
6B,British Pound,62500,0.0001,5,0,"3,6,9,12",,0,0,1,2090
6C,Canadian Dollar,100000,5.00E-05,5,0,"3,6,9,12",,0,0,1,1100
6E,Euro FX,125000,5.00E-05,5,0,"3,6,9,12",,0,0,1,2310
6J,Japanese Yen,125000,5.00E-05,5,0,"3,6,9,12",,0,0,1,2860
6M,Mexican Peso,500000,1.00E-05,5,0,"3,6,9,12",,0,0,1,1265
6N,New Zealand Dollar,100000,5.00E-05,5,0,"3,6,9,12",,0,0,1,1540
6S,Swiss Franc,125000,5.00E-05,5,0,"3,6,9,12",,0,0,1,4070
AFB,Eastern Australia Feed Barley,20,0.1,5,0,"1,3,5,7,9,11",,0,0,1,532
AWM,Eastern Australia Wheat,20,0.1,5,0,"1,3,5,7,9",,0,0,1,662
BAX,Canadian Bankers Acceptance,2500,0.005,5,0,"3,6,9,12",,0,0,1,1219
BRN,Brent Crude Oil,1000,0.01,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,5870
BTC,Bitcoin,5,5,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,88875
CC,Cocoa,10,1,5,0,"3,5,7,9,12",,0,0,1,14020
CGB,10-Year Govt. of Canada Bond,1000,0.01,5,0,"3,6,9,12",,0,0,1,2829
CL,Crude Oil - Light Sweet,1000,0.01,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,7260
CT,Cotton No. 2,500,0.01,5,0,"3,5,7,10,12",,0,0,1,3000
DC,Class III Milk,2000,0.01,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,1320
DX,US Dollar Index,1000,0.001,5,0,"3,6,9,12",,0,0,1,1800
EMD,E-mini S&P MidCap 400,100,0.1,5,0,"3,6,9,12",,0,0,1,16610
ES,E-mini S&P 500,50,0.25,5,0,"3,6,9,12",,0,0,1,12980
ETH,Ether,50,0.5,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,59625
EUA,EUA,1000,0.01,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,8440
FBTP,Euro-BTP Long-Term,1000,0.01,5,0,"3,6,9,12",,0,0,1,3390
FCE,CAC 40,10,0.5,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,5500
FDAX,DAX,25,0.5,5,0,"3,6,9,12",,0,0,1,33322
FESX,EURO STOXX 50,10,1,5,0,"3,6,9,12",,0,0,1,3462
FGBL,Euro-Bund,1000,0.01,5,0,"3,6,9,12",,0,0,1,3077
FGBM,Euro-Bobl,1000,0.01,5,0,"3,6,9,12",,0,0,1,1612
FGBS,Euro-Schatz,1000,0.005,5,0,"3,6,9,12",,0,0,1,668
FGBX,Euro-Buxl,1000,0.02,5,0,"3,6,9,12",,0,0,1,6840
FOAT,Euro-OAT,1000,0.01,5,0,"3,6,9,12",,0,0,1,3085
FSMI,Swiss Market Index,10,1,5,0,"3,6,9,12",,0,0,1,6376
FTDX,TecDAX,10,0.5,5,0,"3,6,9,12",,0,0,1,2777
GAS,Low Sulphur Gasoil,100,0.25,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,5614
GC,Gold,100,0.1,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,11000
GD,S&P GSCI,250,0.05,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,7700
GE,Eurodollar,2500,0.0025,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,1348
GF,Feeder Cattle,500,0.025,5,0,"1,3,4,5,8,9,10,11",,0,0,1,4538
GWM,UK Natural Gas,1000,0.01,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,215
HE,Lean Hogs,400,0.025,5,0,"2,4,5,6,7,8,10,12",,0,0,1,1650
HG,Copper,250,0.05,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,4950
HO,NY Harbor ULSD,42000,0.0001,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,9460
HSI,Hang Seng Index,50,1,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,72884
HTW,MSCI Taiwan Index,100,0.1,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,4801
KC,Coffee C,375,0.05,5,0,"3,5,7,9,12",,0,0,1,6000
KE,KC HRW Wheat,50,0.25,5,0,"3,5,7,9,12",,0,0,1,2200
KOS,KOSPI 200,250000,0.05,5,0,"3,6,9,12",,0,0,1,13974375
LBS,Random Length Lumber,110,0.1,5,0,"1,3,5,7,9,11",,0,0,1,5940
LCC,London Cocoa,10,1,5,0,"3,5,7,9,12",,0,0,1,14470
LE,Live Cattle,400,0.025,5,0,"2,4,5,6,7,8,9,10,11,12",,0,0,1,2695
LES,Euro-Swiss,2500,0.01,5,0,"3,6,9,12",,0,0,1,487
LEU,Euribor,2500,0.005,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,977
LFT,FTSE 100,10,0.5,5,0,"3,6,9,12",,0,0,1,3698
LLG,Long Gilt,1000,0.01,5,0,"3,6,9,12",,0,0,1,3680
LRC,Robusta Coffee 10 Tonne,10,1,5,0,"1,3,5,7,9,11",,0,0,1,3540
LSS,Short Sterling,1250,0.005,5,0,"3,6,9,12",,0,0,1,334
LSU,White Sugar,50,0.1,5,0,"3,5,8,10,12",,0,0,1,2055
LWB,Feed Wheat,100,0.05,5,0,"1,3,5,6,7,9,11",,0,0,1,1351
M2K,Micro E-mini Russell 2000,5,0.1,5,0,"3,6,9,12",,0,0,1,715
MBT,Micro Bitcoin,0.1,5,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,1777
MES,Micro E-mini S&P 500,5,0.25,5,0,"3,6,9,12",,0,0,1,1298
MET,Micro Ether,0.1,0.5,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,119
MHI,Hang Seng Index - Mini,10,1,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,14576
MNQ,Micro E-mini Nasdaq-100,2,0.25,5,0,"3,6,9,12",,0,0,1,1947
MWE,Hard Red Spring Wheat,50,0.25,5,0,"3,5,7,9,12",,0,0,1,3000
MYM,Micro E-mini Dow Jones Industrial Average,0.5,1,5,0,"3,6,9,12",,0,0,1,924
NG,Henry Hub Natural Gas,10000,0.001,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,6050
NIY,Nikkei 225 Yen,500,5,5,0,"3,6,9,12",,0,0,1,935000
NKD,Nikkei 225 Dollar,5,5,5,0,"3,6,9,12",,0,0,1,9350
NQ,E-mini Nasdaq-100,20,0.25,5,0,"3,6,9,12",,0,0,1,19470
OJ,Frozen Concentrated Orange Juice Grade A,150,0.05,5,0,"1,3,5,7,9,11",,0,0,1,4608
PA,Palladium,100,0.1,5,0,"3,6,9,12",,0,0,1,13750
PL,Platinum,50,0.1,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,2750
RB,RBOB Gasoline,42000,0.0001,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,8690
RS,Canola,20,0.1,5,0,"1,3,5,6,7,8,9,11",,0,0,1,650
RTY,E-mini Russell 2000,50,0.1,5,0,"3,6,9,12",,0,0,1,7150
SB,Sugar No. 11,1120,0.01,5,0,"1,3,5,7,9,10",,0,0,1,2016
SCN,FTSE China A50 Index,1,1,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,715
SI,Silver,50,0.5,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,11550
SIN,SGX Nifty 50 Index,2,0.5,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,2090
SJB,Japanese Govt Bond - Mini,100000,0.01,5,0,"3,6,9,12",,0,0,1,220000
SNK,Nikkei 225 (SGX),500,5,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,935000
SO3,3-Month SONIA,2500,0.0025,5,0,"3,6,9,12",,0,0,1,1294
SR3,3-Month SOFR,2500,0.0025,5,0,"3,6,9,12",,0,0,1,935
SSG,MSCI Singapore Index,100,0.05,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,1320
SXF,S&P/TSX 60 Index,200,0.1,5,0,"3,6,9,12",,0,0,1,13357
TN,Ultra 10-Year U.S. T-Note,1000,0.015625,5,0,"3,6,9,12",,0,0,1,3080
UB,Ultra U.S. T-Bond,1000,0.03125,5,0,"3,6,9,12",,0,0,1,6545
VX,CBOE Volatility Index,1000,0.05,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,6094
WBS,WTI Crude Oil,1000,0.01,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,7180
YAP,ASX SPI 200,25,1,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,15387
YG,Mini-Gold,32.15,0.1,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,1594
YI,Mini-Silver,1000,0.001,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,1757
YIB,ASX 30 Day Interbank Cash Rate,8932,0.005,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,653
YIR,ASX 90 Day Bank Accepted Bills,2400,0.01,5,0,"3,6,9,12",,0,0,1,1042
YM,E-mini Dow $5,5,1,5,0,"3,6,9,12",,0,0,1,9240
YXT,ASX 10 Year Treasury Bond,8000,0.0025,5,0,"3,6,9,12",,0,0,1,2878
YYT,ASX 3 Year Treasury Bond,2800,0.005,5,0,"3,6,9,12",,0,0,1,1053
ZB,U.S. T-Bond,1000,0.03125,5,0,"3,6,9,12",,0,0,1,4290
ZC,Corn,50,0.25,5,0,"1,3,5,7,9,11,12",,0,0,1,1430
ZF,5-Year U.S. T-Note,1000,0.0078125,5,0,"3,6,9,12",,0,0,1,1540
ZL,Soybean Oil,600,0.01,5,0,"1,3,5,7,8,9,10,12",,0,0,1,1980
ZM,Soybean Meal,100,0.1,5,0,"1,3,5,7,8,9,10,12",,0,0,1,2090
ZN,10-Year U.S. T-Note,1000,0.015625,5,0,"3,6,9,12",,0,0,1,2338
ZO,Oats,50,0.25,5,0,"3,5,7,9,12",,0,0,1,1540
ZQ,30 Day Federal Funds,4167,0.0025,5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,0,0,1,1375
ZR,Rough Rice,20,0.5,5,0,"1,3,5,7,9,11",,0,0,1,1518
ZS,Soybean,50,0.25,5,0,"1,3,5,7,8,9,11",,0,0,1,2640
ZT,2-Year U.S. T-Note,2000,0.00390625,5,0,"3,6,9,12",,0,0,1,1320
ZW,Chicago SRW Wheat,50,0.25,5,0,"3,5,7,9,12",,0,0,1,2200
